Service Description,Service Classification,cleaned_text,encoded_label
"traffic web services from yahoo ! are transportation to get traffic alert information data a given location . use the traffic rest api to customize your this with public are including indicating locations based on city public , information code , or a combination of any of these things , latitude-longitude , whether to include a map image , or a transit radius in allows . applications bus services are locations available through a [ [ data : system",Transportation,traffic web service from yahoo are transportation get traffic alert information data given location use traffic rest api customize your this with public are including indicating location based city public information code combination of any of these thing latitude longitude whether include map image transit radius allows application bus service are location available through data system,16
"Digiadverts is a marketing and advertising service that offers customers bulk sms services, two-way sms service, mobile coupons, and an sms gateway. The Digiadverts API provides developers with the capabilities to integrate 3rd-party software through an SMS Gateway API. Using the SMS Gateway API users can enable their website, application or software for sending SMS. The API provides a revenue share models available for developers and integrators.",Advertising,digiadverts is marketing advertising service that offer customer bulk sm service two way sm service mobile coupon sm gateway digiadverts api provides developer with capability integrate rd party software through sm gateway api using sm gateway api user can enable their website application software for sending sm api provides revenue share model available for developer integrator,0
"Payments Gateway is a service from ACH Direct, Inc., one of the largest and fastest growing privately held payment processing companies in the United States. The API provides a platform for customizable integration options to meet the payment processing needs of a variety of merchants. Often the API is used to build white label integrations.",Payments,payment gateway is service from ach direct inc one of largest fastest growing privately held payment processing company united state api provides platform for customizable integration option meet payment processing need of variety of merchant often api is used build white label integration,7
"Evergreen is a asset-backed digital currency that allows users to exchange euros for evergreens, and use them as payment. The evergreens are exchanged at a 6:1 ratio with Euros, and are backed by a basket of currencies and environmental investments. The Evergreen API uses REST calls and returns JSON. Users can make calls to interface between mobile apps and websites to manipulates wallets containing evergreens. An account is required with service.",Payments,evergreen is asset backed digital currency that allows user exchange euro for evergreen use them a payment evergreen are exchanged ratio with euro are backed by basket of currency environmental investment evergreen api us rest call return json user can make call interface between mobile apps website manipulates wallet containing evergreen account is required with service,7
"InsumaFocus is a versatile, customizable search engine that is capable of searching through intranet servers, internet domains, databases, or the user's web portals simultaneously. The InsumaFocus API allows this search engine to seamlessly integrate with users' portals using SOAP. Documentation is primarily available in English, although much of the Insuma website is accessible in both English and German.",Search,insumafocus is versatile customizable search engine that is capable of searching through intranet server internet domain database user web portal simultaneously insumafocus api allows this search engine seamlessly integrate with user portal using soap documentation is primarily available english although much of insuma website is accessible both english german,10
"The COM Verify API returns verified data of correct phone numbers, two-factor authentication, and spam protection. It is available in REST architecture with HTTPS to ensure data privacy via TLS 2048 bit encryption. Comapi is an API-first messaging platform.",Messaging,com verify api return verified data of correct phone number two factor authentication spam protection it is available rest architecture with ensure data privacy via tl bit encryption comapi is api first messaging platform,6
Mapfluence is a mapping web service that simplifies and speeds up the development and deployment of sophisticated online mapping applications by providing infrastructure and data. The API is available via a RESTful protocol or through JavaScript.,Mapping,mapfluence is mapping web service that simplifies speed up development deployment of sophisticated online mapping application by providing infrastructure data api is available via restful protocol through javascript,5
"The Fonenode API integrates voice features into telephony applications. It is available in REST architecture with JSON response code and format, providing shared secret as the authentication method. Fonenode is a company based in Africa that offers voice messages, interactive voice responses, and telephony services.",Telephony,fonenode api integrates voice feature into telephony application it is available rest architecture with json response code format providing shared secret a authentication method fonenode is company based africa that offer voice message interactive voice response telephony service,14
"The Autochartist Technical Analysis API is a XML and JSON formatted API that offers users financial data analysis. Autochartist provides their data in a variety of ways including: Fibonacci patterns, chart patterns, and horizontal levels. Autochartist analyzes global financial markets every 15 minutes providing up-to-date information. The are creators of the Autochartist chart pattern recognition platform, MT4 plug-in, and PowerStats.",Financial,autochartist technical analysis api is xml json formatted api that offer user financial data analysis autochartist provides their data variety of way including fibonacci pattern chart pattern horizontal level autochartist analyzes global financial market every minute providing up date information are creator of autochartist chart pattern recognition platform mt plug powerstats,3
"Human Information Project (HIP) provides a secure way for users to keep their online information. Websites and ads that interact with HIP add data to a user's online profile stored on HIP's system and only accessible by that website while the user is at that website. Users can view the information added to their profiles, and can moderate how websites and ads interact with it. The HIP Data API is a Javascript API that websites can install to interact with HIP user data.",Security,human information project hip provides secure way for user keep their online information website ad that interact with hip add data user online profile stored hip system only accessible by that website while user is that website user can view information added their profile can moderate how website ad interact with it hip data api is javascript api that website can install interact with hip user data,11
"The Musement API allows developers to integrate information on tours, attractions, activities, and events into their websites and applications. The available information includes 5,000+ events in 300 cities and 50 countries. Developers can get each activity's information, photos, and content. Musement allows customers to book their reservations and get instant confirmation with a paperless voucher or e-ticket.",Travel,musement api allows developer integrate information tour attraction activity event into their website application available information includes event city country developer can get each activity information photo content musement allows customer book their reservation get instant confirmation with paperless voucher ticket,17
"The Certigo API enables users to perform trades as well as access quotes, alerts, news, account information, margins, and other information from accounts with onlinecommoditybroker.net. The API is designed to have ultra-low latency to accelerate the rate at which users can trade. Onlinecommoditybroker offers full support and has technical specialists to help optimize integration.",Financial,certigo api enables user perform trade a well a access quote alert news account information margin other information from account with onlinecommoditybroker net api is designed have ultra low latency accelerate rate which user can trade onlinecommoditybroker offer full support ha technical specialist help optimize integration,3
Wishsms.com offers access to a large database of quotes & SMS messages. The content is broken up into over 50 categories that users can peruse and resuse at their leisure. Wishsms.com offers access to the collection of SMS messages and quotes through a REST API which returns the content in JSON.,Messaging,wishsms com offer access large database of quote sm message content is broken up into over category that user can peruse resuse their leisure wishsms com offer access collection of sm message quote through rest api which return content json,6
"Geocoder.us is a public service providing free geocoding of addresses and intersections in the United States. Using the service you can find the latitude & longitude of any US address and much more. Geocoder.us offers four different ways to access our web services: an XML-RPC interface, a SOAP interface, a REST interface that returns an RDF/XML document, and a REST interface that returns a plain text comma separated values result. The methods and return values are equivalent across all three interfaces.",Mapping,geocoder u is public service providing free geocoding of address intersection united state using service you can find latitude longitude of any u address much more geocoder u offer four different way access our web service xml rpc interface soap interface rest interface that return rdf xml document rest interface that return plain text comma separated value result method return value are equivalent across all three interface,5
Spamty is a web service that encrypts email addresses and provides links to the email address instead of putting email addresses on the web. The Spamty API allows developers to access and integrate the functionality of Spamty with other applications. The two main API methods are encrypting email addresses and unencrypting email addresses.,Email,spamty is web service that encrypts email address provides link email address instead of putting email address web spamty api allows developer access integrate functionality of spamty with other application two main api method are encrypting email address unencrypting email address,1
"Escapia maintains a database of vacation rentals and provides a means to book those rentals online. You can incorporate booking into your applications with the Escapia Vacation Rental Network (EVRN) API. Partners can use the EVRN API to get information about available rental units, book those units and generate transactional revenue in the form of commissions.",Travel,escapia maintains database of vacation rental provides mean book those rental online you can incorporate booking into your application with escapia vacation rental network evrn api partner can use evrn api get information about available rental unit book those unit generate transactional revenue form of commission,17
"A DoneCard is a type of cash card that can be used for online, mobile, and in-person transactions. The card does not require a bank account and can only be used to spend as much money as is placed on it by the cardholder. The DoneCard API allows users to manage card transactions and orders, get card details, and to verify their cards and transactions.",Payments,donecard is type of cash card that can be used for online mobile person transaction card doe not require bank account can only be used spend a much money a is placed it by cardholder donecard api allows user manage card transaction order get card detail verify their card transaction,7
"SMS123Go! provides simple bulk SMS services. Users can create their own online contact list, recharge their account, and send SMS from anywhere online. SMS123Go! allows organizations to SMS-enable their helpdesk software, network management, customer relationship management, and other systems. Text messages are limited to 140 characters.",Messaging,smsgo provides simple bulk sm service user can create their own online contact list recharge their account send sm from anywhere online smsgo allows organization sm enable their helpdesk software network management customer relationship management other system text message are limited character,6
"The uk.boundaries.io API is a user-friendly REST API that allows developers to integrate multiple GeoJSON postal boundaries results into applications, websites, and systems. This can be such boundaries as: UK Postal Code (ex. ZE1 0AE) ,Sector, District, City, and Wards Boundaries.",Mapping,uk boundary io api is user friendly rest api that allows developer integrate multiple geojson postal boundary result into application website system this can be such boundary a uk postal code ex ze ae sector district city ward boundary,5
"NYSE Technologies market data is a financial information provides live data across a variety of exchanges. The NYXdata API provides users access to data subsets they are interested in. Users can access real-time and historical data, reduces time for deployment/building of front end applications, functions as a spot check for price validation, and eases integration of back testing requirements. An account is required with service.",Financial,nyse technology market data is financial information provides live data across variety of exchange nyxdata api provides user access data subset they are interested user can access real time historical data reduces time for deployment building of front end application function a spot check for price validation eas integration of back testing requirement account is required with service,3
"Google's DoubleClick for Publishers API lets developers interact with the DoubleClick online display advertising platform. Whereas the standard DoubleClick API provides advertisers with a way to manage campaigns, the Publishers API lets site owner's and developers manage inventory and other aspects of providing ad space. For example, using the DoubleClick for Publishers API, developers can automate invoicing by connecting billing to DoubleClick reporting data or integrate with their content management systems to update inventory when content or structure changes. The API uses the SOAP protocol and has 11 WSDLs to describe the service. Among the functions available are creating orders and generating reports.",Advertising,google doubleclick for publisher api let developer interact with doubleclick online display advertising platform whereas standard doubleclick api provides advertiser with way manage campaign publisher api let site owner developer manage inventory other aspect of providing ad space for example using doubleclick for publisher api developer can automate invoicing by connecting billing doubleclick reporting data integrate with their content management system update inventory when content structure change api us soap protocol ha wsdls describe service among function available are creating order generating report,0
"TripleClick is a Nigerian bulk SMS service that can be branded with the user's business name for either direct use or resale. The TripleClick SMS API allows users to integrate the service's messaging gateway into their applications, websites, or systems. The messaging gateway enables users to deliver messages and check their account balances.",Messaging,tripleclick is nigerian bulk sm service that can be branded with user business name for either direct use resale tripleclick sm api allows user integrate service messaging gateway into their application website system messaging gateway enables user deliver message check their account balance,6
"The Bedrebest REST API offers personal finance products that can be integrated with third-party applications. Bedrebest supports a variety of services including credit cards, loans, mobile subscriptions, insurance and savings accounts. JSON is the preferred format for data exchange and OAuth 2 for authentication. Bedrebest is a Norway based financial services firm.",Financial,bedrebest rest api offer personal finance product that can be integrated with third party application bedrebest support variety of service including credit card loan mobile subscription insurance saving account json is preferred format for data exchange oauth for authentication bedrebest is norway based financial service firm,3
"The Zacks Street Earnings Estimate API allows developers to access and integrate the functionality and data of Zacks Street Earnings Estimate database. Zacks Street Earnings Estimate database offers consensus street earnings estimates for over 5,000 US and Canadian listed companies as calculated by Zacks Research. Street earnings estimates exclude non-recurring items and include employee stock option expenses on a case by case basis, rather than across the board.",Financial,zacks street earnings estimate api allows developer access integrate functionality data of zacks street earnings estimate database zacks street earnings estimate database offer consensus street earnings estimate for over u canadian listed company a calculated by zacks research street earnings estimate exclude non recurring item include employee stock option expense case by case basis rather than across board,3
"The UserClues platform enables customers to monitor and measure user activity, with a focus on user engagement and behavior. The UserClues API provides developers with a RESTful interface to the data reported from their application and users to UserClues.",Enterprise,userclues platform enables customer monitor measure user activity with focus user engagement behavior userclues api provides developer with restful interface data reported from their application user userclues,2
"Sales and marketing professionals use NeedTagger's applications to mine social media for people expressing important types of commercial intent (questions, complaints, requests for help, life events, buying signals) related to their business. The Social Signals API lets developers access and integrate NeedTagger's intent-mining service into their applications. Example API methods include analyzing social media content for more than 70 types of intent and updating the API with custom signals (natural language filters) created using NeedTagger's web application.",Social,sale marketing professional use needtagger application mine social medium for people expressing important type of commercial intent question complaint request for help life event buying signal related their business social signal api let developer access integrate needtagger intent mining service into their application example api method include analyzing social medium content for more than type of intent updating api with custom signal natural language filter created using needtagger web application,12
"ABN (Australian Business Number) Lookup. An XML interface to the ABN Lookup is available to registered users. Using this facility, you can integrate ABN lookups into your own applications. ABN Lookup provides access to the publicly available information provided by businesses when they register for an Australian Business Number.",Government,abn australian business number lookup xml interface abn lookup is available registered user using this facility you can integrate abn lookup into your own application abn lookup provides access publicly available information provided by business when they register for australian business number,4
"Boliven is the leading information portal for R&D, IP and business development professionals with over 100 million peer-reviewed documents to help identify technologies, clients, partners, opportunities and ideas. Amongst its documents Boliven publications include 35,000,000+ references, 5,500+ publications from Crossref, NLM Pubmed. The Publications API lets users create custom searches on the Boliven patent database and show details of the patent document texts that are returned. This data can be integated into a user's website or application. The API uses RESTful calls and responses are formatted in XML and JSON.",Reference,boliven is leading information portal for ip business development professional with over million peer reviewed document help identify technology client partner opportunity idea amongst it document boliven publication include reference publication from crossref nlm pubmed publication api let user create custom search boliven patent database show detail of patent document text that are returned this data can be integated into user website application api us restful call response are formatted xml json,8
"AzonMobile QR Code Management and Tracking platform is a product built to help businesses generate, manage, and track QR Codes. The AzonMobile QR Code API provides developer access to the full functionality of the AzonMobile platform. Supported calls include QR Code generation, QR Code and campaign management, and analytics. The API can be used to generate QR Codes with specified shapes and foreground/background images. The API accepts XML formatted HTTP Post calls and returns XML formatted responses.",Advertising,azonmobile qr code management tracking platform is product built help business generate manage track qr code azonmobile qr code api provides developer access full functionality of azonmobile platform supported call include qr code generation qr code campaign management analytics api can be used generate qr code with specified shape foreground background image api accepts xml formatted http post call return xml formatted response,0
Carmasys provides an engine monitoring system that can be installed into a users vehicle. This collects engine data as the user drives and stores it for later analysis. The Carmalink API allows users to build collected data into applications. The API uses REST calls and uses SSL for security.,Transportation,carmasys provides engine monitoring system that can be installed into user vehicle this collect engine data a user drive store it for later analysis carmalink api allows user build collected data into application api us rest call us ssl for security,16
"CreditAPI is a service that allows approved companies and individuals to access credit reports from the three credit reporting bureaus. CredtAPI also offers credit analyzing tools. The Credit API allows developers to access and integrate the data and functionality of CreditAPI with other applications. Some example API methods include retrieving credit scores, retrieving credit reports, and accessing credit analysis.",Financial,creditapi is service that allows approved company individual access credit report from three credit reporting bureau credtapi also offer credit analyzing tool credit api allows developer access integrate data functionality of creditapi with other application some example api method include retrieving credit score retrieving credit report accessing credit analysis,3
"xml travelgate provides are integrations for connecting with the travel applications 's suppliers . these integrations cover a wide range of industry sectors and services , including hotel booking , provides rentals , api , provides activities , and services modes of transportation . the website is available in you english and spanish , but the api documentation is provided provides in english . more search available that hotels this available allows services data users can",Travel,xml travelgate provides are integration for connecting with travel application supplier these integration cover wide range of industry sector service including hotel booking provides rental api provides activity service mode of transportation website is available you english spanish api documentation is provided provides english more search available that hotel this available allows service data user can,17
"API.LEIPZIG is part of the Leipzig Agenda 21 to improve the lives of current and future citizens of Leipzig, Germany, through culture and civil involvement in government. API.LEIPZIG is an API which opens Leipzig city government data to the public. API.LEIPZIG is RESTful. The data sources are still in development (more being added regularly) and new data suggestions are encouraged.",Government,api leipzig is part of leipzig agenda improve life of current future citizen of leipzig germany through culture civil involvement government api leipzig is api which open leipzig city government data public api leipzig is restful data source are still development more being added regularly new data suggestion are encouraged,4
"The AddStructure Path REST API allows developers to access and integrate the functionality of the AddStructure product with other applications. Some example API methods include retrieving pages and finding similar pages. AddStructure allows companies to organize and structure user-generated content, such as reviews of products, into searchable, retrievable, and readable content.",Search,addstructure path rest api allows developer access integrate functionality of addstructure product with other application some example api method include retrieving page finding similar page addstructure allows company organize structure user generated content such a review of product into searchable retrievable readable content,10
"The Sparrow Services API by SparrowOne provides payments and value added features in the Sparrow gateway, that is a method of submitting transaction through the Services API. It allows merchants to connect their order management, shopping cart or card present device to the payment gateway for processing. Various transactions include; Sale, Authorization, Capture, Void, Refund and more. Sparrow is a global e-payment system comprised of FBI Tools, Tokenization, Payment Routing, Recurring Billing, ARC support, Closed Loop Payment Ecosystem and Commerce Hub.",Payments,sparrow service api by sparrowone provides payment value added feature sparrow gateway that is method of submitting transaction through service api it allows merchant connect their order management shopping cart card present device payment gateway for processing various transaction include sale authorization capture void refund more sparrow is global payment system comprised of fbi tool tokenization payment routing recurring billing arc support closed loop payment ecosystem commerce hub,7
"SITA's 2D Boarding Pass API creates and delivers an IATA and TSA standard compliant 2D boarding pass image based on information and boarding pass delivery preferences provided by the airlines departure control/check-in application. Delivery options include email, SMS, Apple PassBook (PassKit compatible) or the board code image can be displayed on web, mobile web or pushed for used in Smartphone apps. Interested developers can request an API key and check out and test the API from www.developer.aero. Full set of documentation available.",Travel,sita boarding pas api creates delivers iata tsa standard compliant boarding pas image based information boarding pas delivery preference provided by airline departure control check application delivery option include email sm apple passbook passkit compatible board code image can be displayed web mobile web pushed for used smartphone apps interested developer can request api key check out test api from full set of documentation available,17
"Digium is a communications technology company specializing in business phone systems and custom telephony solutions. Switchvox is Digium's Asterisk-based unified communications system designed for small and medium businesses. The Digium Switchvox API lets you query information from your Switchvox PBX. This allows you to perform a multitude of tasks such as downloading an XML call log, getting a list of all extensions, and downloading a user's voicemail messages. The API's call creation methods allow you to build auto-dialers, add click-to-call functions to other applications, and more.",Telephony,digium is communication technology company specializing business phone system custom telephony solution switchvox is digium asterisk based unified communication system designed for small medium business digium switchvox api let you query information from your switchvox pbx this allows you perform multitude of task such a downloading xml call log getting list of all extension downloading user voicemail message api call creation method allow you build auto dialers add click call function other application more,14
"ACH Solutions invites developers to become integrated partners. Payments, accounting, and baking are some of the features that can be implemented into web services and mobile applications via XML requester. ACH Solutions is a division of UMS Banking and provides a secure low cost alternative for web and mobile payment services.",Payments,ach solution invite developer become integrated partner payment accounting baking are some of feature that can be implemented into web service mobile application via xml requester ach solution is division of ums banking provides secure low cost alternative for web mobile payment service,7
"The Rapaport Group provides knowledge-based information services supporting the development of free, fair, efficient, competitive, and profitable diamond and jewelry markets. Their primary websites are Diamonds.net, RapNet.com, and Rapaport Auctions. The Rapaport Price List API provides access to Rapaport price sheets, price changes, and specific prices. The API is available as a SOAP web service and as HTTP POST calls. XML and JSON formatted responses are supported.",Financial,rapaport group provides knowledge based information service supporting development of free fair efficient competitive profitable diamond jewelry market their primary website are diamond net rapnet com rapaport auction rapaport price list api provides access rapaport price sheet price change specific price api is available a soap web service a http post call xml json formatted response are supported,3
Lytics is a data analysis platform for performing analytics on structured and unstructured data in one system in the cloud. The Lytics API allows developers to access and integrate the functionality of Lytics with other applications and to create new applications. Public documentation is not available; interested developers should email info@lytics.io for more information.,Enterprise,lytics is data analysis platform for performing analytics structured unstructured data one system cloud lytics api allows developer access integrate functionality of lytics with other application create new application public documentation is not available interested developer should email for more information,2
"2600hz is a telephony, voice, and video communications platform. 2600hz provides a variety of communications features for organizations and companies to use for voice and video communication. The 2600hz API allows developers to access and integrate the functionality of 2600hz with other applications and to create new applications. Some example API methods include managing users, accessing messages, managing calls, and retrieving call logs.",Telephony,hz is telephony voice video communication platform hz provides variety of communication feature for organization company use for voice video communication hz api allows developer access integrate functionality of hz with other application create new application some example api method include managing user accessing message managing call retrieving call log,14
"Everysport is a Swedish website that provides visitors with information and services relating to all kinds of sports. Site members can create user profiles, participate in discussions, create groups, and more. They can follow games live with other people and track match results. Members can report from matches, but official results are provided by Everysport Media Service AB. The Everysport API allows developers to access information on 90,000 teams and 1,500,000 matches. Although the Everysport website is given only in Swedish, the API documentation is given in English.",Sports,everysport is swedish website that provides visitor with information service relating all kind of sport site member can create user profile participate discussion create group more they can follow game live with other people track match result member can report from match official result are provided by everysport medium service ab everysport api allows developer access information team match although everysport website is given only swedish api documentation is given english,13
This API is based on a transparent integration type which allows the Merchant to accept card payments without redirecting users to a page hosted by the payment service provider. This integration type retains the security level and minimizes the PCI DSS compliance effort. It also gives the Merchant flexibility and control over the payment process. PayU is a Naspers-owned online and mobile payments company.,Payments,this api is based transparent integration type which allows merchant accept card payment without redirecting user page hosted by payment service provider this integration type retains security level minimizes pci ds compliance effort it also give merchant flexibility control over payment process payu is naspers owned online mobile payment company,7
"CreativeWorx TimeTracker is an automated time/activity solution that captures how users spend their time. It captures time spent in applications (such as Microsoft Office and Adobe Creative Suite) as well as more general tools (such as calendar, email, browser, etc.). After capturing the time/activity, it also assigns the correct job code to the task. That timesheet data can then be passed to any other platform for invoicing, analytics, and other tasks. The TimeTracker API allows users to integrate the time tracking service with external systems to monitor that activity. An account is required with service.",Tools,creativeworx timetracker is automated time activity solution that capture how user spend their time it capture time spent application such a microsoft office adobe creative suite a well a more general tool such a calendar email browser etc after capturing time activity it also assigns correct job code task that timesheet data can then be passed any other platform for invoicing analytics other task timetracker api allows user integrate time tracking service with external system monitor that activity account is required with service,15
"This API enables the user to run transactions in a credit card present (CP) or credit card not present (CNP) environment using Worldpay. Functionality includes customer management tools for managing payment accounts and the ability to enable recurring billing to automatically bill customers at specified intervals. Worldpay is a partner in payments processing that helps businesses accept all payment types in-person, online and on-the-go.",Payments,this api enables user run transaction credit card present cp credit card not present cnp environment using worldpay functionality includes customer management tool for managing payment account ability enable recurring billing automatically bill customer specified interval worldpay is partner payment processing that help business accept all payment type person online go,7
"Yandex is the largest search engine in Russia and develops a number of Internet-based services and products. Yandex offers owners of websites and blogs tools with which they can apply the functional services of Yandex in their projects. The site and documentation are in Russian. The Yandex Maps API is a free tool that allows developers to embed maps on their website. Using the API users can manage cards and their contents, as well as create a variety of applicationsfrom simple interactive directions to the office to advanced GIS services. The API uses both REST and JavaScript protocol and returns a map image based on specified parameters.",Mapping,yandex is largest search engine russia develops number of internet based service product yandex offer owner of website blog tool with which they can apply functional service of yandex their project site documentation are russian yandex map api is free tool that allows developer embed map their website using api user can manage card their content a well a create variety of applicationsfrom simple interactive direction office advanced gi service api us both rest javascript protocol return map image based specified parameter,5
"The service defines the gene structure implied by a protein sequence within a particular genome. It aides in research projects to define gene sequencing by analyzing a protein sequence and identifying the genes defined, with accommodation for sequencing errors and errors and ambiguously defined genes, even where complete genomes are not fully described. The service provides locations within the genome where the submitted protein sequence could appear, which indicates the genes corresponding to the sequence. API methods support submission of a protein sequence with data about its source within a particular genome. Methods return comprehensive identification of genes defined by the sequence and identifies available genetic profiles for species characterized by the submitted profile and genes.",Science,service defines gene structure implied by protein sequence within particular genome it aide research project define gene sequencing by analyzing protein sequence identifying gene defined with accommodation for sequencing error error ambiguously defined gene even where complete genome are not fully described service provides location within genome where submitted protein sequence could appear which indicates gene corresponding sequence api method support submission of protein sequence with data about it source within particular genome method return comprehensive identification of gene defined by sequence identifies available genetic profile for specie characterized by submitted profile gene,9
"AdventureLink is a service for finding and booking trips, such as vacation excursions. Trips are selected from top operators and organized for users. Community features allow users to share trips, ideas, advice, and media from past trips with friends and fellow travelers. The API allows developers to integrate trips and book reservations via their applications or web sites. It uses RESTful calls with responses formatted in XML and JSON.",Travel,adventurelink is service for finding booking trip such a vacation excursion trip are selected from top operator organized for user community feature allow user share trip idea advice medium from past trip with friend fellow traveler api allows developer integrate trip book reservation via their application web site it us restful call with response formatted xml json,17
"The service adds functions for annotation and semantic tagging of online content. It enables a user to apply free-text tags or longer text descriptions to content, which then is available for access by text-mining and content analysis applications. The service supports both local access and external access by other systems, with annotations in English or French, including full compatibility with LinkedData Network applications. API methods support submission of annotations with documents, with language and annotation size specified. The system then supports automated access to accumulated content annotations via linked data technologies.",Reference,service add function for annotation semantic tagging of online content it enables user apply free text tag longer text description content which then is available for access by text mining content analysis application service support both local access external access by other system with annotation english french including full compatibility with linkeddata network application api method support submission of annotation with document with language annotation size specified system then support automated access accumulated content annotation via linked data technology,8
"The Nativefier API allows developers to turn any site into a native application. Authored by Jia Hao, Nativefier makes it easier to create a desktop application for any website with minimal configuration using a command line tool.",Tools,nativefier api allows developer turn any site into native application authored by jia hao nativefier make it easier create desktop application for any website with minimal configuration using command line tool,15
"The OpenCrypt Video Conversion API is designed to allow you to transcode/convert video you have uploaded to your server into Flash Video format suitable for displaying on your site with an embedded video player. The Video Conversion API is integrated with OpenCrypt version 1.8 to offer video management tools, and to enable you to upload and include videos with your products and in your picture gallery.",Video,opencrypt video conversion api is designed allow you transcode convert video you have uploaded your server into flash video format suitable for displaying your site with embedded video player video conversion api is integrated with opencrypt version offer video management tool enable you upload include video with your product your picture gallery,18
"CallFire provides a VoIP platform that powers voice broadcasts, call centers, call tracking, and text messaging campaigns. This API allows account holders to create and manage their personal phonebook entries. Consumers can view, add or remove entries. The API lets users retrieve account lists associated with an ID, create new contact lists and validate the lists. The API uses SOAP calls and responses are formatted in XML.",Telephony,callfire provides voip platform that power voice broadcast call center call tracking text messaging campaign this api allows account holder create manage their personal phonebook entry consumer can view add remove entry api let user retrieve account list associated with id create new contact list validate list api us soap call response are formatted xml,14
smarttraveldeals this the api from deals on the web . we publish current hotel offers to this destinations and connect you to the direct booking path . booking can hotels their flight information from hotel also applications hotel offers service hotel applications are search allows that flight api hotels offers you this are this service their flight xml data access search available search service booking this information also booking their you hotel other can developers information information search,Travel,smarttraveldeals this api from deal web we publish current hotel offer this destination connect you direct booking path booking can hotel their flight information from hotel also application hotel offer service hotel application are search allows that flight api hotel offer you this are this service their flight xml data access search available search service booking this information also booking their you hotel other can developer information information search,17
"2Checkout.com provides turnkey e-commerce solutions to thousands of business customers around the world. 2CO supports back-office functions including financial reporting, tracking, fraud prevention, affiliate tracking, customer service and sales tracking. The API provides a way to automate both account and order management processes. It uses a RESTful interface and responses can be in XML, JSON or HTML XOXO microformat.",eCommerce,checkout com provides turnkey commerce solution thousand of business customer around world co support back office function including financial reporting tracking fraud prevention affiliate tracking customer service sale tracking api provides way automate both account order management process it us restful interface response can be xml json html xoxo microformat,19
"Tozny is an authentication platform that uses crypto on your user's phone as unique identifiers.his platform can be used as a strong cryptography layer for any web site or app. The REST-like Tozny API is used to integrate authentication capabilities; it returns data in JSON format, and uses API Keys. Tozny is a startup based in Portland, Oregon.",Security,tozny is authentication platform that us crypto your user phone a unique identifier his platform can be used a strong cryptography layer for any web site app rest like tozny api is used integrate authentication capability it return data json format us api key tozny is startup based portland oregon,11
